Linux 2.6.32-431.el6.i686 (bogon) 	06/11/2019 	_i686_	(24 CPU)

12:00:01 AM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
09:00:01 AM        lo      0.33      0.33      0.04      0.04      0.00      0.00      0.00
09:00:01 AM  Auto_em1      9.45      9.11      1.06      3.40      0.00      0.00      0.15
09:00:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:10:01 AM        lo      8.23      8.23      2.46      2.46      0.00      0.00      0.00
09:10:01 AM  Auto_em1      2.93      4.50      0.47      5.78      0.00      0.00      0.06
09:10:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:20:01 AM        lo      6.77      6.77      2.16      2.16      0.00      0.00      0.00
09:20:01 AM  Auto_em1     27.33     30.31     23.28     30.52      0.00      0.00      0.07
09:20:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:30:01 AM        lo      5.26      5.26      1.18      1.18      0.00      0.00      0.00
09:30:01 AM  Auto_em1      1.67      1.46      0.27      1.12      0.00      0.00      0.23
09:30:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:40:01 AM        lo      4.21      4.21      1.07      1.07      0.00      0.00      0.00
09:40:01 AM  Auto_em1      0.63      0.43      0.09      0.21      0.00      0.00      0.06
09:40:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:50:01 AM        lo      1.08      1.08      0.20      0.20      0.00      0.00      0.00
09:50:01 AM  Auto_em1     10.19     17.25      0.81     24.45      0.00      0.00      0.06
09:50:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:00:01 AM        lo      5.13      5.13      1.10      1.10      0.00      0.00      0.00
10:00:01 AM  Auto_em1      4.75      6.28      0.69      7.61      0.00      0.00      0.17
10:00:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:10:01 AM        lo      1.92      1.92      0.44      0.44      0.00      0.00      0.00
10:10:01 AM  Auto_em1    209.48    323.78     20.37    370.14      0.00      0.00      0.10
10:10:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:20:01 AM        lo      7.44      7.44      2.43      2.43      0.00      0.00      0.00
10:20:01 AM  Auto_em1    390.33    591.57     38.54    645.07      0.00      0.00      0.06
10:20:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:30:02 AM        lo     12.69     12.69      3.20      3.20      0.00      0.00      0.00
10:30:02 AM  Auto_em1    449.37    656.75     47.38    670.04      0.00      0.00      0.21
10:30:02 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:40:01 AM        lo     18.35     18.35      4.87      4.87      0.00      0.00      0.00
10:40:01 AM  Auto_em1     15.42     29.98      2.18     34.97      0.00      0.00      0.06
10:40:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:50:01 AM        lo     19.13     19.13      4.36      4.36      0.00      0.00      0.00
10:50:01 AM  Auto_em1      4.30      4.64      0.56      4.02      0.00      0.00      0.07
10:50:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:00:01 AM        lo      1.00      1.00      0.20      0.20      0.00      0.00      0.00
11:00:01 AM  Auto_em1      1.95      1.18      0.20      0.32      0.00      0.00      0.20
11:00:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:10:01 AM        lo      0.24      0.24      0.02      0.02      0.00      0.00      0.00
11:10:01 AM  Auto_em1      0.91      0.43      0.09      0.05      0.00      0.00      0.07
11:10:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:20:01 AM        lo      1.27      1.27      0.22      0.22      0.00      0.00      0.00
11:20:01 AM  Auto_em1      1.02      0.58      0.12      0.11      0.00      0.00      0.06
11:20:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:30:01 AM        lo      0.64      0.64      0.06      0.06      0.00      0.00      0.00
11:30:01 AM  Auto_em1      1.48      0.74      0.15      0.11      0.00      0.00      0.24
11:30:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:40:01 AM        lo      2.52      2.52      0.53      0.53      0.00      0.00      0.00
11:40:01 AM  Auto_em1      1.33      1.01      0.16      0.55      0.00      0.00      0.07
11:40:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:50:01 AM        lo      1.82      1.82      0.45      0.45      0.00      0.00      0.00
11:50:01 AM  Auto_em1      1.65      1.12      0.18      0.30      0.00      0.00      0.07
11:50:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:00:01 PM        lo      0.10      0.10      0.01      0.01      0.00      0.00      0.00
12:00:01 PM  Auto_em1      1.05      0.43      0.10      0.05      0.00      0.00      0.20
12:00:01 PM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:10:01 PM        lo      0.38      0.38      0.03      0.03      0.00      0.00      0.00
12:10:01 PM  Auto_em1      0.80      0.33      0.08      0.03      0.00      0.00      0.07
12:10:01 PM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:20:01 PM        lo      0.32      0.32      0.02      0.02      0.00      0.00      0.00
12:20:01 PM  Auto_em1      0.78      0.35      0.08      0.03      0.00      0.00      0.06
12:20:01 PM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:30:01 PM        lo      0.10      0.10      0.01      0.01      0.00      0.00      0.00
12:30:01 PM  Auto_em1      0.89      0.31      0.09      0.02      0.00      0.00      0.16
12:30:01 PM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:40:01 PM        lo      0.32      0.32      0.02      0.02      0.00      0.00      0.00
12:40:01 PM  Auto_em1      0.80      0.34      0.08      0.03      0.00      0.00      0.07
12:40:01 PM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:50:02 PM        lo      0.32      0.32      0.02      0.02      0.00      0.00      0.00
12:50:02 PM  Auto_em1      0.79      0.34      0.08      0.03      0.00      0.00      0.06
12:50:02 PM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:01 PM        lo      0.10      0.10      0.01      0.01      0.00      0.00      0.00
01:00:01 PM  Auto_em1      0.89      0.31      0.09      0.02      0.00      0.00      0.17
01:00:01 PM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:10:01 PM        lo      2.05      2.05      0.46      0.46      0.00      0.00      0.00
01:10:01 PM  Auto_em1      1.16      0.75      0.17      0.34      0.00      0.00      0.07
01:10:01 PM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:20:01 PM        lo      1.76      1.76      0.37      0.37      0.00      0.00      0.00
01:20:01 PM  Auto_em1      7.52      9.79      0.59     12.78      0.00      0.00      0.06
01:20:01 PM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:30:01 PM        lo      0.91      0.91      0.12      0.12      0.00      0.00      0.00
01:30:01 PM  Auto_em1      4.61      5.17      0.36      6.69      0.00      0.00      0.20
01:30:01 PM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:40:01 PM        lo      0.59      0.59      0.05      0.05      0.00      0.00      0.00
01:40:01 PM  Auto_em1      0.78      0.33      0.08      0.03      0.00      0.00      0.06
01:40:01 PM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:50:01 PM        lo      0.93      0.93      0.12      0.12      0.00      0.00      0.00
01:50:01 PM  Auto_em1     10.13     16.49      0.69     22.30      0.00      0.00      0.08
01:50:01 PM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:00:01 PM        lo      0.32      0.32      0.03      0.03      0.00      0.00      0.00
02:00:01 PM  Auto_em1      0.96      0.34      0.09      0.03      0.00      0.00      0.19
02:00:01 PM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:10:01 PM        lo      2.36      2.36      0.56      0.56      0.00      0.00      0.00
02:10:01 PM  Auto_em1      0.99      0.53      0.20      0.14      0.00      0.00      0.06
02:10:01 PM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:20:01 PM        lo      0.37      0.37      0.03      0.03      0.00      0.00      0.00
02:20:01 PM  Auto_em1      0.79      0.34      0.08      0.03      0.00      0.00      0.07
02:20:01 PM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:30:01 PM        lo      0.54      0.54      0.15      0.15      0.00      0.00      0.00
02:30:01 PM  Auto_em1      0.96      0.43      0.11      0.14      0.00      0.00      0.16
02:30:01 PM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:40:01 PM        lo      3.21      3.21      0.80      0.80      0.00      0.00      0.00
02:40:01 PM  Auto_em1      1.97      2.81      0.27      3.30      0.00      0.00      0.06
02:40:01 PM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:50:01 PM        lo      0.46      0.46      0.06      0.06      0.00      0.00      0.00
02:50:01 PM  Auto_em1      0.81      0.36      0.08      0.04      0.00      0.00      0.07
02:50:01 PM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:00:01 PM        lo      2.86      2.86      0.44      0.44      0.00      0.00      0.00
03:00:01 PM  Auto_em1      9.70     11.80      1.04      9.86      0.00      0.00      0.23
03:00:01 PM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:01 PM        lo      2.85      2.85      1.29      1.29      0.00      0.00      0.00
03:10:01 PM  Auto_em1      1.76      2.12      0.30      1.99      0.00      0.00      0.06
03:10:01 PM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:20:01 PM        lo      0.91      0.91      0.09      0.09      0.00      0.00      0.00
03:20:01 PM  Auto_em1      2.44      2.42      0.32      1.81      0.00      0.00      0.07
03:20:01 PM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:30:01 PM        lo      7.95      7.95      1.80      1.80      0.00      0.00      0.00
